#{"t_start": 1781751887.5577912, "env_id": "highway-v0"}
r,l,t
2.05283,5,5.499411
0.0,1,6.263422
0.444444,2,7.762085
2.708345,6,12.114653
2.018012,5,15.745374
0.444444,2,17.220107
2.208892,5,20.795196
2.141474,5,24.380643
0.0,1,25.044745
1.161297,3,27.247146
1.710349,4,30.163359
2.811476,6,34.462571
1.333333,4,37.326721
2.373461,5,40.959709
1.333333,4,43.95808
1.192332,3,46.175956
0.444444,2,47.625689
0.0,1,48.392223
2.588619,5,52.027864
0.65483,2,53.441738
0.888889,3,55.667693
2.347445,5,59.341087
1.583023,4,62.126439
0.749506,2,63.60995
1.494336,4,66.520071
1.023393,3,68.723437
1.550484,4,71.623197
0.444444,2,73.156989
1.162896,3,75.362956
1.191832,3,77.561616
0.0,1,78.310696
0.0,1,79.038988
1.057553,3,81.274357
1.418974,3,83.539235
2.661642,6,87.939709
1.333333,4,90.790317
3.264004,6,95.168834
2.872308,7,100.305665
0.0,1,101.022657
3.572652,8,106.902695
1.644477,4,109.846708
3.597969,7,114.951908
1.744182,4,117.952266
3.281568,7,123.003558
2.770237,6,127.400513
6.511116,13,136.929177
0.0,1,137.682755
2.523477,6,142.087151
2.139907,5,145.732196
3.985958,9,152.264675
1.036161,3,154.514427
2.313858,5,158.230736
0.888889,3,160.445858
0.888889,3,162.665794
0.626194,2,164.130024
3.531533,7,169.215278
0.0,1,169.965184
0.0,1,170.6961
0.747538,2,172.181774
0.960619,3,174.430595
2.281852,5,178.097599
1.480505,3,180.312825
0.0,1,181.063169
1.268622,3,183.244762
0.444444,2,184.71123
0.888889,3,186.895787
1.973113,4,190.693913
1.821571,4,193.697654
0.0,1,194.449856
0.888889,3,196.776698
1.955343,5,200.366423
8.059128,15,211.177606
2.10035,5,214.827189
4.534612,9,221.242975
3.065827,6,225.623211
0.444444,2,227.05901
3.979598,8,232.822781
0.444444,2,234.239307
7.091444,11,242.193736
0.0,1,242.973421
5.017793,8,249.02107
1.044735,3,251.237507
0.444444,2,252.672675
5.197184,11,260.653196
1.658046,4,263.552952
3.474287,7,268.718568
4.586881,9,275.568237
0.444444,2,277.068019
0.0,1,277.800841
4.429387,8,283.550832
1.655182,4,286.416981
0.444444,2,287.933354
9.743122,17,300.331979
1.333333,4,303.33182
0.0,1,304.048179
1.53773,4,307.014493
0.444444,2,308.481055
0.888889,3,310.630752
0.444444,2,312.063836
1.078102,3,314.247095
1.333333,4,317.163237
3.377009,7,322.162643
1.882479,4,325.081678
1.43269,3,327.24777
1.472721,4,330.171691
2.835379,6,334.567069
6.629809,12,343.255026
1.546212,4,346.172596
14.810062,25,364.49111
2.408032,5,368.20728
0.0,1,368.907192
6.650565,13,378.992429
12.924093,25,396.969689
1.554628,4,399.803572
15.228645,23,416.403272
7.477437,15,427.266631
0.712834,2,428.667013
0.666177,2,430.135686
2.079688,5,433.87023
0.0,1,434.616216
3.728325,7,439.684663
2.326809,5,443.265056
5.457985,10,450.630961
0.0,1,451.365793
0.0,1,452.113128
4.884763,9,458.530155
3.459658,7,463.580103
7.451912,15,474.766384
2.587075,5,478.327799
1.733078,4,481.377379
3.844118,7,486.431729
0.747424,2,487.909872
10.572878,18,500.925039
17.06629,28,521.106227
12.312821,18,534.09086
11.648895,20,548.670193
0.0,1,549.55458
3.555588,7,554.75348
1.612544,4,557.651731
0.888889,3,559.850437
16.909839,31,583.048904
6.268222,10,590.281276
16.384161,24,607.545883
24.448311,49,643.108417
3.10764,7,648.17459
0.888889,3,650.343385
3.946185,8,656.264906
0.0,1,656.992518
6.85018,12,665.722409
1.656004,4,668.673615
6.002773,12,678.226174
4.715381,9,684.753547
6.341964,12,693.485877
3.440018,6,697.837757
6.070028,12,706.621236
3.456157,7,711.678859
0.666814,2,713.121901
7.621833,12,721.871667
4.980038,9,728.398452
1.495253,3,730.602996
2.488715,5,734.197703
5.871398,12,742.980072
18.444079,35,768.67697
5.915097,10,775.976122
12.079504,27,795.726323
1.081052,3,797.890328
10.632941,17,810.190322
16.202091,31,832.752879
1.82169,4,835.682941
6.529661,12,844.380035
13.82229,25,862.949278
10.796926,18,876.046727
1.587538,4,879.796093
10.097407,15,890.952791
0.0,1,891.695919
2.489556,5,895.395641
20.412801,32,919.21172
8.480558,15,930.241349
16.633813,28,951.472186
0.0,1,952.238827
3.090686,6,956.688253
11.749819,24,974.482497
9.983241,15,985.601543
7.762242,15,996.802478
21.262827,38,1024.947002
2.010916,4,1028.342881
22.902735,38,1056.54563
8.975964,18,1070.258409
13.38981,25,1088.958671
6.917698,13,1098.557462
5.304522,11,1106.742634
0.444444,2,1108.253896
9.994353,19,1122.469035
0.0,1,1123.21876
18.100962,33,1148.382442
44.706676,100,1223.592984
8.749683,15,1234.7397
5.13837,9,1241.638334
7.680774,15,1252.892803
1.421911,4,1255.903237
0.619112,2,1257.403064
7.775193,13,1267.104645
11.04795,18,1280.835163
17.152023,31,1304.150202
7.805754,15,1315.379665
41.979576,87,1380.855241
24.622995,45,1414.399079
54.601058,118,1502.00772
8.759034,16,1513.873007
25.980442,49,1551.051931
40.676572,89,1617.627409
21.51049,39,1646.525693
35.716285,77,1703.917502
6.088257,12,1713.416145
1.333333,4,1716.46594
15.270647,33,1740.946319
11.772456,22,1757.281821
15.940172,29,1778.842728
13.183011,19,1792.945253
21.931333,36,1820.505267
57.193768,128,1916.425884
2.62525,5,1920.112257
71.666937,158,2037.261534
4.557697,10,2044.74785
91.574775,205,2197.076115
36.605556,81,2257.819013
49.549635,110,2339.97476
57.06277,123,2431.351008
16.676354,37,2458.897262
85.17336,190,2600.259317
24.7642,49,2636.505864
101.062332,220,2800.21975
78.854397,168,2925.404342
48.117545,106,3004.561289
82.849405,186,3145.1134
9.095823,17,3157.892643
20.886306,38,3186.505731
85.579976,191,3328.79048
157.147194,300,3555.827104
149.483929,300,3781.836871
95.599397,191,3926.948343
74.384149,152,4041.884321
153.856894,300,4269.223556
59.185357,133,4369.84418
157.2992,300,4600.402269
153.001459,300,4829.423873
113.58696,227,5001.769102
36.840576,74,5057.358529
159.280821,300,5284.68197
153.48197,300,5511.158288
154.616841,300,5737.507152
156.155521,300,5965.72877
154.818231,300,6193.282632
151.956,300,6420.570553
148.230901,300,6649.399435
12.434785,27,6669.929499
84.914561,167,6797.091418
122.432443,247,6984.201237
154.847741,300,7210.439533
34.275311,71,7263.888231
41.95263,86,7329.791767
115.438685,228,7502.092263
144.619302,300,7729.277855
32.25294,70,7781.822638
27.861059,62,7828.278524
83.3817,167,7954.73227
157.233924,300,8181.654425
153.643465,300,8408.02239
154.589501,300,8634.977233
152.096568,300,8862.552311
155.328418,300,9088.420119
28.054282,63,9135.647553
116.420888,231,9309.808851
159.176677,300,9536.346693
152.922525,300,9763.072167
86.200071,166,9888.536035
71.051371,132,9988.244983
45.288746,91,10056.951781
153.24208,300,10283.702973
114.447401,231,10458.131094
146.993066,300,10684.885766
29.841389,65,10733.746222
0.888889,3,10736.029289
154.949746,300,10963.050889
152.899405,300,11191.221787
50.271105,101,11267.062203
35.440799,68,11318.322435
150.883416,300,11544.184218
63.150672,125,11638.656547
154.186067,300,11866.788223
152.123778,300,12093.141352
41.976202,86,12158.071518
153.640819,300,12386.221116
118.798688,243,12569.484945
148.810649,300,12796.302618
45.10484,91,12865.029726
61.132215,124,12959.56536
134.785358,264,13158.790308
151.343219,300,13384.823258
149.528406,300,13612.066101
42.968477,92,13681.376565
158.219836,300,13909.58242
47.922413,98,13983.217282
150.129374,300,14211.084287
148.441107,300,14436.622141
149.429057,300,14663.9882
151.089325,300,14892.126229
147.788714,293,15114.701655
158.136303,300,15343.803624
153.539606,300,15572.082105
108.942914,206,15729.246207
152.407965,300,15957.100475
150.77341,300,16185.959465
78.661639,158,16306.828773
8.876457,20,16321.944502
14.989259,33,16346.800996
148.637054,300,16575.211662
147.515786,300,16804.762634
150.419294,300,17035.018405
147.915531,300,17265.253145
101.94802,199,17418.304057
151.887135,300,17648.633978
147.45745,300,17879.838776
112.561263,229,18056.49008
147.328676,300,18287.111265
152.66737,300,18518.699007
153.650168,300,18750.026488
