#{"t_start": 1781751887.619372, "env_id": "highway-v0"}
r,l,t
0.51492,2,3.389608
0.888889,3,5.686834
1.333333,4,8.684867
0.444444,2,10.186497
0.0,1,10.869642
2.26449,5,14.449677
1.005243,3,16.667344
0.0,1,17.401262
1.9926,5,21.000227
2.687996,6,25.261156
1.184478,3,27.454466
0.444444,2,28.883434
0.444444,2,30.385259
3.214323,7,35.380953
2.104569,5,38.949978
0.888889,3,41.167177
2.702332,6,45.616858
1.127825,3,47.83285
2.063943,5,51.480355
3.516575,7,56.596575
0.0,1,57.343044
0.444444,2,58.783584
0.0,1,59.529552
2.235624,5,63.065349
0.706217,2,64.514038
0.888889,3,66.728888
4.699576,9,73.36145
2.665094,6,77.746944
3.672168,7,82.946171
3.514072,7,88.145555
1.333333,4,91.011898
4.19445,8,96.824048
1.807161,4,99.758574
0.0,1,100.511886
4.082333,8,106.377154
0.632767,2,107.809839
0.0,1,108.590991
1.333333,4,111.52689
3.122208,6,115.890269
0.571592,2,117.340015
5.291007,8,123.204718
0.888889,3,125.356027
1.981084,5,128.972377
1.846659,4,131.960574
0.444444,2,133.423958
2.063138,5,137.121326
0.664326,2,138.606079
0.593544,2,140.104541
0.744642,2,141.540063
1.142035,3,143.722804
1.49971,4,146.659648
2.80515,6,151.003242
2.473748,6,155.43611
4.495531,9,162.088603
1.333333,4,165.037699
1.869732,4,167.951382
6.092289,12,176.78648
2.614066,6,181.297492
1.517777,4,184.183642
2.391932,5,187.851994
0.0,1,188.615995
1.212503,3,191.648849
2.496072,6,196.2151
0.609741,2,197.681928
1.347042,4,200.58401
8.124797,13,209.930419
0.530395,2,211.38305
5.650846,10,218.548218
2.446803,6,222.900497
6.398272,12,231.56138
2.826164,6,235.898875
1.847009,4,238.743981
1.559628,4,241.679622
0.961107,3,243.910084
2.24416,5,247.793045
1.509013,4,250.704523
1.226531,3,252.911184
2.218133,5,256.461338
7.70024,12,265.191302
5.707211,11,273.59031
5.835884,11,281.541768
0.0,1,282.255919
2.72237,6,286.642292
6.13113,11,294.687761
3.919043,8,300.52041
2.700964,6,305.005613
0.444444,2,306.472271
7.767472,13,315.918651
3.632606,7,320.901367
3.795799,7,325.95081
4.609207,9,332.550028
0.444444,2,334.018009
3.477107,7,339.082659
4.567075,10,346.381616
0.888889,3,348.616997
16.364491,32,372.061598
7.082051,13,382.029925
5.656946,11,389.964653
7.088789,13,399.274708
10.426355,19,412.955918
2.616503,6,417.325747
5.12717,9,423.789342
1.663091,4,426.70563
8.263929,13,436.242633
10.415933,15,447.169959
5.192699,9,453.685804
2.799691,6,458.021006
2.436324,6,462.30947
4.534984,9,468.917172
6.135152,12,477.787711
0.0,1,478.520109
2.868276,6,483.016235
12.615064,26,501.862388
12.288925,23,518.394862
5.731146,10,525.627266
3.069886,6,529.92674
4.074356,8,535.775994
0.888889,3,537.944776
10.195575,18,551.272969
1.971495,4,554.190533
1.065395,3,556.359373
2.728295,6,560.723197
1.333333,4,563.657639
0.760329,2,565.675152
5.808677,11,573.538469
1.83083,4,576.488045
8.153998,13,586.141924
7.996142,15,596.871004
2.454069,6,601.240013
3.002126,6,605.584563
0.0,1,606.284519
19.733121,40,635.364352
1.139294,3,637.533186
3.99261,8,643.313521
2.348288,5,646.913105
3.188592,6,651.295798
13.495223,29,672.74624
21.026373,43,704.655914
0.0,1,705.372816
17.289008,27,724.969193
8.122894,14,735.135966
3.601357,8,740.974673
0.0,1,741.701965
24.883558,48,776.914388
3.304507,6,781.297233
6.288491,12,790.079669
9.500693,18,803.144872
14.607885,27,822.725731
42.849901,83,884.418844
7.470534,15,895.600552
7.18677,15,906.851599
0.0,1,907.615833
15.309328,26,926.813199
7.945786,14,937.279001
6.088425,11,945.878003
24.89851,52,984.308178
11.725123,19,998.525382
13.65898,25,1017.03882
13.682391,26,1036.753187
12.739078,23,1053.782092
10.700263,23,1071.213319
14.971057,28,1092.125624
6.073046,9,1098.793453
4.73989,8,1104.726037
1.333333,4,1107.675674
9.968595,19,1121.909023
10.03253,18,1135.940683
4.6732,8,1141.871695
19.751758,34,1167.485373
8.050239,16,1179.617211
33.576193,52,1218.562684
16.680833,27,1238.68242
2.042787,5,1242.593174
20.771945,40,1272.7063
15.536924,27,1293.039841
8.178498,17,1305.802749
4.027678,8,1311.81843
11.401571,19,1326.602351
23.179867,41,1357.146424
14.780807,26,1376.496789
65.868289,141,1481.448459
12.563822,26,1500.715193
25.45588,56,1543.126149
41.557521,93,1612.699802
26.36511,52,1651.211893
44.120672,96,1723.270223
12.909798,21,1738.834119
32.561944,62,1784.979161
13.321817,26,1804.360745
18.421605,40,1834.840486
27.38474,55,1875.802358
20.009329,34,1901.849125
54.521105,118,1989.188885
7.967117,15,2000.237232
11.701623,22,2016.585641
