#{"t_start": 1781751887.4741085, "env_id": "highway-v0"}
r,l,t
1.514018,4,4.416558
1.174588,3,6.732347
4.033582,8,12.546346
1.485446,4,15.462954
2.33096,5,19.051513
0.444444,2,20.514478
0.888889,3,22.645899
0.610262,2,24.078608
0.902917,3,26.203865
1.333333,4,29.147202
1.333333,4,32.077652
1.333333,4,34.911267
1.496413,4,37.762908
0.684067,2,39.210145
0.444444,2,40.679247
2.980728,6,45.129874
5.998439,12,53.911272
8.260244,15,64.759923
1.930964,4,67.676091
2.752183,6,72.146936
2.564701,6,76.545527
2.154594,5,80.253058
1.333333,4,83.221854
1.347216,3,85.457933
4.0,10,92.695714
0.888889,3,94.842081
0.571797,2,96.355795
2.607851,5,100.023049
0.444444,2,101.480709
2.058367,5,105.142392
2.317214,5,108.851541
2.043304,5,112.502505
3.869465,9,119.136928
3.057597,7,124.184638
4.634763,10,131.459341
3.174952,6,135.833371
1.882955,4,138.869709
2.046104,5,142.577826
2.160999,5,146.212752
0.66464,2,147.632079
1.555734,4,150.515107
0.888889,3,152.731735
3.030023,6,157.197881
2.268007,5,160.902347
1.831938,4,163.847011
1.896191,4,166.78013
0.0,1,167.486315
0.77706,2,168.913191
0.627152,2,170.39629
2.148421,5,174.097399
0.623688,2,175.614482
1.190601,3,177.814012
1.355929,4,180.764614
0.0,1,181.545308
4.172229,8,187.328007
2.519929,6,192.627603
4.109322,9,199.309996
0.888889,3,201.559779
1.624039,4,204.495347
0.666249,2,205.959951
8.371631,15,216.710884
5.434154,11,224.590757
0.0,1,225.325474
4.891776,9,231.823356
1.333333,4,234.706372
0.888889,3,236.872704
1.89807,4,239.72381
2.62327,5,243.424245
6.710506,13,253.187806
2.405849,5,256.756334
0.0,1,257.458168
1.663308,4,260.353752
3.249064,6,264.686662
0.0,1,265.436347
4.552793,8,271.603161
4.525746,9,278.268266
9.750956,17,290.583026
3.456035,7,295.682932
1.628595,4,298.575286
8.45736,18,311.764429
11.234404,23,328.430503
1.333333,4,331.312054
0.665751,2,332.813135
2.38807,5,336.494747
3.022948,7,341.494185
0.444444,2,342.910763
2.470903,5,346.643095
3.736984,8,352.508491
5.682807,10,359.740518
2.059117,5,363.490116
1.957459,4,366.424954
6.029391,13,375.921988
3.414127,8,382.307917
3.458115,7,387.307261
0.444444,2,388.757772
1.069471,3,390.938365
6.119287,13,400.235557
5.120972,9,406.755531
2.557226,6,411.071303
10.709722,19,424.771595
5.886076,10,432.050132
0.0,1,432.805437
0.711099,2,434.316672
8.440691,16,445.899886
15.423957,26,464.748169
6.879766,12,473.728565
0.0,1,474.479955
1.415203,3,476.61155
6.108533,11,484.695354
2.832516,7,489.843345
3.651242,8,495.545314
1.899284,4,498.461538
0.0,1,499.192478
5.920596,10,506.428536
2.631319,6,510.677801
0.666493,2,512.160023
4.62471,10,519.340021
1.188484,3,521.551732
1.496065,4,524.410889
5.365823,10,531.638478
0.566615,2,533.110978
8.081936,15,544.060081
1.659782,4,546.908339
10.18001,16,558.805394
0.0,1,559.552495
13.952269,22,575.9667
9.668423,20,590.714963
3.333926,7,595.68369
0.656172,2,597.162212
0.0,1,597.917211
0.444444,2,599.330565
3.853181,7,604.386301
0.0,1,605.098667
9.002028,18,618.180954
1.600532,4,621.079749
8.279606,14,631.226906
