#{"t_start": 1781751887.593287, "env_id": "highway-v0"}
r,l,t
1.22188,3,4.095014
0.0,1,4.911323
1.154778,3,7.144455
2.662379,6,11.52735
1.938533,5,15.143633
0.444444,2,16.596038
1.333333,4,19.459836
2.566116,6,23.759363
1.931069,4,26.627713
2.664981,6,31.024265
5.758839,10,38.19769
1.499182,4,41.09097
0.681285,2,42.613405
0.457852,2,44.090456
1.909299,4,47.026198
2.70424,5,50.710604
1.333333,4,53.60621
1.955174,4,56.522502
1.16748,3,58.710915
1.884896,4,61.54133
1.935313,4,64.429751
8.376284,14,74.732632
0.0,1,75.503912
1.344404,4,78.456013
4.284198,9,85.136275
0.444444,2,86.638709
1.666058,4,89.489079
3.504572,8,95.3254
1.190522,3,97.501667
0.0,1,98.217081
3.589197,7,103.384491
0.0,1,104.150967
2.912676,6,108.519765
2.855407,6,112.91665
0.888889,3,115.102497
1.646303,4,118.099431
3.031875,6,122.383666
0.444444,2,123.868039
1.470452,4,126.748767
4.523595,9,133.347851
1.333333,4,136.297569
0.663813,2,137.819483
1.448899,4,140.786222
2.087001,5,144.396593
3.493681,7,149.479056
1.777778,5,153.180045
0.940427,3,155.362226
0.0,1,156.162149
0.0,1,156.878849
1.684194,4,159.861778
0.0,1,160.578316
3.984359,7,165.713663
2.139753,5,169.362318
1.333333,4,172.346207
1.176422,3,174.576874
2.601085,5,178.261812
0.0,1,179.012126
0.444444,2,180.461833
2.042558,4,183.392621
3.534409,7,188.544418
1.057369,3,191.575053
1.665998,4,194.608081
0.0,1,195.409691
0.0,1,196.141181
2.062595,5,199.757137
2.749485,6,204.172714
6.68782,13,213.508379
1.52529,4,216.372374
1.551066,4,219.205456
0.0,1,219.923911
2.095441,5,223.590991
0.707019,2,225.007105
4.747371,10,232.221248
5.38398,10,239.404195
0.0,1,240.153321
0.926091,3,242.336257
0.0,1,243.102976
2.489443,5,247.002886
4.229332,9,253.604151
5.74418,11,261.467638
1.423126,3,263.699538
1.110424,3,265.933826
1.697948,4,268.850119
2.404305,6,273.51627
2.884107,6,277.951668
1.333333,4,280.78198
0.888889,3,282.951152
0.0,1,283.698034
4.999588,8,289.514564
2.854539,6,293.916504
1.333333,4,296.830143
1.655302,4,299.713219
0.888889,3,301.979257
8.988542,15,312.928386
3.183424,7,317.99755
1.489342,4,320.844097
5.655217,11,328.843143
2.463309,5,332.475954
0.62443,2,333.944907
10.194587,19,347.790838
1.545474,3,350.024881
1.333333,4,352.940301
0.0,1,353.673664
2.078753,4,356.525132
2.333723,5,360.158781
1.975223,4,363.122474
0.0,1,363.922363
1.333333,4,366.85525
0.888889,3,369.057757
5.57689,12,378.387303
3.405142,6,382.70335
1.716455,4,385.519369
1.333333,4,388.421968
1.048994,3,390.635916
4.400717,7,395.618648
7.994266,15,406.439369
2.91865,6,410.750287
1.333333,4,413.665202
2.341995,5,417.249301
0.557698,2,418.699305
8.308221,17,431.014374
5.946627,11,439.063151
3.093725,6,443.415392
3.18773,7,448.580352
15.352726,28,468.84568
0.776778,2,470.343346
4.218446,9,477.039497
6.978057,12,485.843685
5.044255,11,493.790337
11.626951,19,507.559111
3.897649,9,514.021337
4.533636,9,520.506434
2.024203,4,523.389432
11.113951,18,536.43539
4.798767,10,543.737073
16.959136,35,569.881517
6.079825,12,578.616018
25.602386,45,611.365443
1.169351,3,613.545712
8.593425,15,624.47516
2.972377,6,628.741196
5.029435,9,635.290178
1.900198,4,638.199906
4.488283,9,644.706168
6.999601,13,654.15494
1.114649,3,656.421378
8.238371,15,667.320021
7.379099,12,676.735661
6.630411,11,684.901289
7.133168,11,692.869334
14.781328,28,713.264642
0.444444,2,714.714526
9.523562,17,727.067856
6.374696,12,735.828647
8.032195,15,746.69427
21.924102,38,774.642325
0.0,1,775.360025
15.267609,21,790.740949
6.68929,11,798.754745
3.772359,8,804.570699
12.257669,20,818.985709
7.239158,14,829.217777
1.631486,4,832.136189
6.137261,11,840.140947
7.546435,14,850.348056
5.926629,12,859.464181
12.415217,20,873.981606
0.0,1,874.712364
20.619959,37,902.975816
2.660796,6,907.543125
3.113041,6,911.974696
3.573049,7,917.124173
27.509744,47,952.405443
9.679511,18,965.670314
1.421957,4,968.620612
6.273971,12,977.583642
1.627569,4,980.540216
14.208335,22,996.950713
4.873128,8,1002.94731
10.019255,15,1014.034446
8.055846,13,1023.578479
1.573248,4,1026.650012
5.165604,10,1034.460369
18.684737,28,1055.207843
2.041912,5,1059.057093
6.885661,13,1068.926766
13.715103,26,1088.320655
0.444444,2,1089.842095
7.295364,14,1100.221377
3.511999,7,1105.401927
45.378577,96,1178.046156
10.440171,19,1192.241875
21.078936,42,1223.771562
7.973918,15,1234.886918
36.701472,63,1282.506981
1.595371,4,1285.433064
18.190085,33,1310.281606
4.349591,9,1317.026086
7.21162,13,1327.30892
5.595399,9,1334.063755
17.101479,33,1358.594161
26.21569,55,1399.570024
4.133421,8,1405.516828
41.445332,91,1473.192287
21.715698,46,1507.321575
48.921578,106,1587.44546
43.068714,96,1658.655818
1.971237,5,1662.369994
90.199779,192,1805.769798
45.420467,101,1881.694267
55.687558,125,1975.102679
108.712413,243,2155.645578
5.467607,11,2163.779421
2.896879,6,2168.219499
56.157673,123,2260.215636
54.421653,117,2347.575228
50.70545,113,2431.500914
24.570635,53,2471.241184
84.245217,187,2609.907367
57.730021,124,2702.131921
122.05595,273,2905.423479
2.87955,7,2910.637278
14.776052,33,2935.267655
82.061102,181,3070.717594
97.645142,217,3233.814021
4.282817,9,3241.096842
50.886812,108,3321.520244
2.10586,5,3325.238765
54.606665,122,3417.275274
152.449476,300,3644.59751
124.074116,277,3853.45525
97.857044,192,3998.59015
151.229614,300,4224.926467
146.24595,300,4453.714835
49.038207,104,4534.058687
151.418082,300,4763.704553
2.023598,5,4767.475765
156.737853,300,4995.914009
100.124096,198,5144.760998
31.100957,69,5197.494386
149.657878,300,5424.410623
150.377148,300,5651.131983
155.267116,300,5878.189699
151.842179,300,6105.957286
148.50835,300,6332.930714
152.426399,300,6561.668865
149.743874,300,6790.156756
151.032495,300,7017.444896
156.317409,300,7243.703259
155.420034,300,7471.087924
2.217107,5,7474.908085
18.073382,41,7506.569051
151.437552,300,7733.207439
48.314916,93,7803.033121
110.677815,209,7960.946678
160.728416,300,8187.886456
154.343516,300,8414.292668
150.41989,300,8641.127757
11.319007,24,8659.125498
45.103004,101,8735.512384
161.144028,300,8962.670628
88.384695,175,9094.637543
19.413134,43,9126.796456
155.10233,300,9352.536792
152.511575,300,9579.242977
157.15029,300,9805.931309
32.387687,70,9859.320848
150.895333,300,10085.575727
46.790181,98,10159.453328
152.226305,295,10382.320383
151.559044,300,10610.061883
69.216478,128,10705.981497
83.699808,163,10829.531996
151.99707,300,11056.720018
153.682006,300,11283.806528
83.207406,170,11412.307272
76.376004,162,11533.946832
152.625301,300,11760.850055
62.021128,123,11854.702584
147.723416,300,12081.090856
154.378567,300,12307.610336
150.743385,300,12535.255074
152.043633,300,12762.471447
152.989884,300,12990.229637
149.353185,300,13216.383933
151.630981,300,13442.744098
152.220723,300,13669.51741
146.407162,300,13897.787387
156.30871,300,14124.963658
156.927015,300,14350.981283
45.779995,87,14416.420824
154.859665,300,14643.779772
151.623186,300,14871.812668
149.079144,300,15099.774231
149.329669,300,15328.541987
150.901194,300,15557.012784
150.813513,300,15785.531187
147.548359,300,16013.913513
133.137631,262,16213.506765
147.449067,300,16442.439317
35.393507,74,16498.366122
151.962794,300,16727.937395
151.647141,300,16957.97585
148.268225,300,17187.575784
150.665537,300,17418.467326
148.125231,300,17648.800464
148.860894,300,17880.009313
154.867198,300,18111.25027
150.741396,300,18342.005105
149.623594,300,18573.458789
153.88676,300,18805.587244
