#{"t_start": 1781751887.4885046, "env_id": "highway-v0"}
r,l,t
0.0,1,2.235017
1.133227,3,4.54031
3.641875,7,9.782359
2.083648,5,13.315121
0.0,1,14.065044
2.028572,5,17.749742
1.216768,3,19.867129
0.0,1,20.600393
2.013388,5,24.182502
2.399998,5,27.799445
0.0,1,28.484211
1.88047,4,31.429925
1.730229,4,34.282237
0.0,1,34.998916
0.0,1,35.696138
5.039725,9,42.195366
0.444444,2,43.762
0.0,1,44.512065
2.204511,5,48.178147
0.888889,3,50.363375
1.989511,5,54.027534
5.638139,10,61.216383
2.078212,5,64.875465
5.056782,12,73.729414
0.444444,2,75.142125
0.888889,3,77.345031
1.002423,3,79.592648
2.274319,5,83.341146
0.444444,2,84.807734
4.80024,10,92.034425
1.646811,4,94.959001
12.755892,22,111.138464
2.886165,6,115.487796
2.279286,5,119.237432
8.081356,15,130.098143
1.985251,5,133.790503
1.915789,4,136.718855
1.315339,3,138.985986
2.49581,5,142.691768
1.333333,4,145.534723
1.24737,3,147.736001
1.440595,4,150.617438
1.902936,4,153.586018
1.516851,3,155.78637
1.046467,3,157.985752
1.884013,4,161.015006
1.090503,3,163.195276
1.656682,4,166.13262
1.627764,4,169.015534
0.0,1,169.751423
2.981094,6,174.215019
2.631837,6,178.66508
6.256241,10,185.948531
0.0,1,186.665914
1.460371,3,188.980111
0.0,1,190.480055
4.146334,9,197.298646
3.337789,7,202.331608
0.728707,2,203.811801
2.14394,5,207.490256
4.137155,9,213.896154
3.308927,7,218.893606
1.036765,3,221.047314
3.334366,7,226.142397
3.084031,6,230.444831
10.491906,17,242.743137
0.0,1,243.525745
0.888889,3,245.890406
0.0,1,246.673977
0.0,1,247.407289
8.320649,15,258.296278
0.57157,2,259.722744
4.082625,7,264.810353
1.139271,3,267.055797
6.091822,11,275.373455
6.045973,13,284.786319
0.0,1,285.517039
1.333333,4,288.469289
1.00938,3,290.701304
3.145195,6,295.068555
4.068082,8,300.884551
0.444444,2,302.38441
8.404584,15,313.336886
5.718348,11,321.248946
1.416605,4,324.131717
2.305383,5,327.781248
0.0,1,328.536076
0.0,1,329.266774
1.595244,4,332.114275
1.333333,4,335.099682
3.698866,7,340.164906
3.097307,6,344.528972
2.086479,5,348.212281
0.616086,2,349.682683
2.007039,5,353.346545
1.578014,4,356.194545
1.557707,4,359.077577
1.460522,4,362.078948
0.0,1,362.778549
6.673158,14,373.109367
11.821781,21,388.857445
4.294158,8,394.60301
4.455267,8,400.341156
11.446566,22,416.157721
1.704351,4,419.123055
2.219559,5,422.703526
0.665245,2,424.139229
3.525517,7,429.222183
3.172057,6,433.654871
2.379167,5,437.31405
1.934259,4,440.207953
0.0,1,440.920323
0.444444,2,442.353532
1.631011,4,445.239246
9.482275,12,454.049882
3.742004,7,459.051478
1.884259,4,461.910078
4.772446,8,467.723075
7.058582,11,475.98172
9.849812,18,489.182258
6.409529,11,497.078235
0.888889,3,499.294481
36.761618,80,557.458407
2.019565,5,561.103986
1.975136,5,565.288949
13.073804,19,579.201935
2.747546,6,583.553351
1.706097,4,586.485856
6.203465,11,594.366763
4.584868,10,601.587548
8.631087,13,611.014998
1.673931,4,613.983778
13.688454,23,630.545726
2.436288,5,634.230933
0.0,1,634.947929
13.133973,24,652.37663
2.290986,5,656.05021
4.942808,9,662.581224
0.0,1,663.325367
0.557221,2,664.794187
1.631488,4,667.757727
3.708922,7,673.107456
0.565086,2,674.662777
0.0,1,675.540616
7.318375,13,685.307817
5.98654,12,694.024273
9.250391,14,704.237191
11.627881,26,723.085005
5.607232,9,729.670278
1.333333,4,732.567164
2.587061,6,736.93589
0.0,1,737.683402
0.888889,3,739.865227
44.048275,95,809.291872
9.995364,17,821.593041
10.11179,16,833.276435
8.896986,16,844.947217
0.0,1,845.70399
0.0,1,846.424319
10.144534,17,859.102337
0.0,1,859.868898
27.531167,44,892.981752
2.396857,5,896.710695
0.0,1,897.430104
3.21971,6,901.883989
6.50869,15,913.150684
6.543876,12,921.980039
11.281874,20,936.8613
13.531804,28,957.97425
38.667311,68,1008.503906
0.444444,2,1009.984732
3.016144,6,1014.4343
7.127062,16,1026.231076
6.278008,12,1035.614989
8.470569,14,1045.966344
11.384108,20,1060.994954
21.962444,48,1096.85779
3.690294,8,1102.85974
8.156087,14,1113.239226
6.205558,10,1120.757624
2.414902,6,1125.25698
2.893182,6,1129.737336
13.717992,25,1148.937485
3.774243,8,1155.217176
10.101494,16,1167.052714
17.808445,34,1192.646537
8.398774,14,1203.064361
4.57513,11,1211.433695
16.440023,31,1234.508336
21.338778,37,1262.455163
1.985474,5,1266.154564
21.889868,40,1296.434451
53.841281,121,1387.307066
2.33452,6,1391.806729
11.108134,23,1408.938494
109.766771,228,1579.48989
20.797506,33,1604.231622
18.413382,38,1632.311783
13.37833,22,1648.593201
53.05974,118,1736.916174
45.490519,101,1812.107579
40.167975,87,1877.63436
13.058076,26,1896.930639
86.467509,192,2040.030602
2.614288,6,2044.524156
92.65829,204,2196.095436
106.6799,239,2374.474221
58.805708,130,2472.379063
57.391793,129,2567.585484
66.524087,146,2676.006664
84.330706,188,2815.607155
101.793855,225,2983.549762
10.843056,21,2999.113367
120.085748,255,3191.474912
77.327258,172,3319.724871
