#{"t_start": 1781751887.5780919, "env_id": "highway-v0"}
r,l,t
1.436536,4,4.829188
0.669332,2,6.343069
1.604609,4,9.29485
1.274137,3,11.46279
3.255543,6,15.808948
0.0,1,16.50879
2.2319,5,20.124661
2.192012,5,23.691323
1.333333,4,26.540943
0.444444,2,28.043287
0.444444,2,29.473951
0.0,1,30.225917
0.469406,2,31.690451
1.463704,3,33.806828
1.668343,4,36.673334
0.444444,2,38.10635
0.963608,3,40.289424
0.965304,3,42.505982
4.125291,9,49.176258
1.030835,3,51.343882
2.560232,5,54.971223
0.444444,2,56.43778
1.068103,3,58.620851
6.253596,11,66.603345
0.444444,2,68.039155
2.048556,5,71.702865
0.444444,2,73.238902
1.519301,4,76.17108
2.655116,6,80.622191
1.684075,4,83.620502
1.257799,3,85.800409
3.705736,7,90.867484
2.591657,6,95.2425
0.0,1,95.984073
4.022907,10,103.29949
1.82115,4,106.232575
1.676113,4,109.184869
1.256523,3,111.398618
0.888889,3,113.567713
1.562767,4,116.514877
1.137465,3,118.764645
1.97102,4,121.614297
7.138153,12,130.382242
1.1917,3,132.565453
0.0,1,133.265651
2.408318,5,136.998661
1.521232,4,139.945752
0.888889,3,142.162085
4.55902,8,148.047214
1.982533,5,151.613152
1.209297,3,153.863378
1.447252,4,156.793923
4.868894,10,164.212266
3.555556,9,170.758974
0.444444,2,172.261511
1.333333,4,175.247041
1.987667,5,178.941729
1.224038,3,181.158046
3.155265,6,185.474273
1.333333,4,188.45941
1.136935,3,191.490187
6.16658,12,200.446195
1.333333,4,203.322358
0.0,1,204.091115
1.598795,4,207.00775
6.063602,11,214.887759
9.727898,17,227.122181
1.647161,4,229.98627
2.458543,6,234.321523
0.761712,2,235.752271
2.891741,6,240.073809
0.690089,2,241.518314
4.981669,11,249.800726
0.0,1,250.550658
0.0,1,251.317397
0.646947,2,252.750426
1.676886,4,255.636088
6.25637,10,262.885116
1.333333,4,265.832436
0.0,1,266.59758
2.460413,5,270.301944
1.910022,4,273.431485
1.180165,3,275.647866
0.0,1,276.381231
7.042957,12,285.049234
0.660242,2,286.496644
4.739208,8,292.415159
0.0,1,293.129179
4.049052,8,298.947868
3.966119,8,304.844426
1.471273,4,307.827489
0.93882,3,309.960511
1.960417,4,312.843502
2.217859,5,316.526434
5.78952,11,324.392174
1.52876,3,326.575287
0.722579,2,328.054617
7.163944,11,336.112454
3.501829,7,341.123569
1.174777,3,343.356141
1.526262,4,346.256291
2.865126,6,350.705781
2.822142,6,355.024729
2.526096,6,359.340679
3.514992,7,364.573775
15.353893,33,389.115184
13.365581,27,408.515563
1.547619,4,411.431849
4.015286,7,416.48146
5.052175,10,423.663785
8.58912,15,434.698766
7.296804,13,444.080446
1.780765,4,447.027706
6.809799,14,457.193265
4.268468,9,463.660375
0.684054,2,465.111634
3.538232,8,471.077358
7.961519,14,481.457065
4.693514,8,487.239949
8.999245,19,501.004791
8.130081,17,513.210531
14.130888,25,531.251669
3.161308,6,535.650696
12.718303,23,552.632015
1.989876,5,556.230566
3.783749,7,561.386145
6.476547,13,571.250152
12.193842,18,584.55805
5.757641,11,592.460704
22.045036,40,621.440708
6.816211,15,632.272646
8.714714,16,643.888008
10.368751,16,655.553286
0.760387,2,657.086123
1.089015,3,659.236155
2.354209,5,662.837411
7.332115,13,672.587071
4.01666,8,679.050588
11.136245,22,694.998727
3.4672,7,700.131436
0.0,1,700.852863
2.040402,5,704.5143
1.150116,3,706.697263
6.740742,11,714.629331
8.293302,14,724.828557
2.140625,5,728.478076
14.981759,31,750.937623
0.0,1,752.276974
1.600511,4,755.12501
1.333333,4,758.024559
4.233132,8,763.740746
16.123382,29,784.871472
6.384623,11,792.853792
1.064533,3,795.05353
11.76605,21,810.268433
11.601293,24,827.662393
9.069581,18,840.814976
2.911436,6,845.214332
6.264413,12,853.938454
16.382924,25,872.444768
15.264302,22,889.562239
7.059924,13,899.174769
5.329619,10,906.706824
12.675957,26,925.955059
8.200502,16,937.906104
9.041564,19,952.318523
24.772832,42,983.447793
20.99002,39,1012.478345
1.333333,4,1015.461061
11.570517,17,1028.426232
13.878167,23,1045.493555
9.36942,18,1058.960328
0.769585,2,1060.47253
5.270469,10,1068.12168
3.91357,8,1074.104249
8.214339,17,1086.752715
13.243946,21,1102.367637
17.34283,28,1123.321483
18.992577,39,1153.23025
2.054008,5,1156.961154
8.158066,14,1167.343341
7.771252,13,1177.217509
4.176798,8,1183.341574
19.048423,33,1207.924407
9.887999,21,1223.686807
8.431169,17,1236.286751
9.773118,15,1247.717219
49.420235,105,1327.224191
8.761024,14,1337.692245
13.298359,22,1354.023181
2.312893,5,1357.757841
11.254063,26,1377.118646
23.503318,44,1409.964896
4.881351,8,1415.947535
20.274266,45,1449.460229
14.965341,22,1465.743011
7.361951,14,1476.090419
18.045837,38,1504.32052
24.910834,39,1533.966965
2.016618,5,1537.749833
57.647403,126,1631.822173
6.157408,12,1640.754351
76.180283,168,1766.289357
13.796605,27,1786.339972
16.972858,33,1810.867911
4.385108,8,1817.417287
0.0,1,1818.335308
46.733686,102,1894.207238
21.523671,49,1931.220311
62.487272,138,2033.595347
40.47862,90,2101.067191
1.546671,4,2104.03355
43.406318,97,2175.62891
67.622161,148,2286.7474
49.896527,111,2368.853868
51.603968,115,2454.494236
19.942019,45,2489.08982
134.432623,300,2710.976923
51.937235,116,2797.299713
56.205021,126,2891.162277
62.526741,140,2995.679249
49.543235,112,3079.71674
133.455104,292,3299.356896
145.05329,300,3525.627196
117.671868,222,3693.273309
158.024368,300,3920.19557
63.021371,124,4014.250689
156.753408,300,4239.87322
6.320196,14,4251.905022
148.6481,300,4480.660143
152.061966,300,4710.435011
127.16648,241,4894.358525
18.459246,41,4925.191228
113.485167,225,5094.882048
161.347664,300,5322.625348
163.16107,300,5548.680541
150.233627,300,5776.118971
156.268075,300,6003.353723
155.559908,300,6231.375216
151.601451,300,6458.213707
149.281743,300,6687.308348
151.982709,296,6911.806674
156.501922,300,7138.811452
140.497604,279,7350.268337
107.655206,213,7511.781388
152.405332,300,7738.405142
34.971147,77,7796.265358
153.493358,300,8022.437469
162.633493,300,8249.638661
159.146848,300,8477.063667
148.195415,300,8703.081636
26.189737,59,8747.476025
146.0588,300,8974.530698
149.858177,300,9200.189444
153.796106,300,9426.489434
76.007727,146,9537.163785
152.296274,300,9763.914858
31.548052,63,9811.094365
65.851149,136,9914.218863
152.017046,300,10140.387707
148.152195,300,10367.140478
2.923237,6,10371.675149
148.925811,300,10598.696536
39.168545,88,10665.489797
0.888889,3,10667.75101
120.455889,233,10843.795444
154.381334,300,11070.966789
108.916182,228,11244.015209
37.5675,82,11305.629461
135.358332,273,11511.414776
28.81319,64,11559.055195
22.437203,51,11597.916877
151.018133,300,11825.790505
34.574341,74,11881.901576
151.352422,300,12108.402492
86.622675,171,12237.50535
27.245197,57,12280.313031
0.0,1,12281.097314
151.447286,300,12508.737554
126.114695,246,12693.998973
150.183033,300,12921.933128
4.300048,10,12930.198845
33.566985,74,12986.258336
69.159058,141,13092.331977
112.675511,231,13266.487573
151.086526,300,13493.126536
154.076946,300,13720.460317
150.636971,300,13947.864651
146.687408,300,14175.531453
70.266401,147,14286.570654
63.960064,141,14392.025822
154.477036,300,14619.607311
149.104323,300,14846.902106
112.134327,221,15015.198388
148.385266,300,15243.134392
131.036874,262,15443.444395
155.301015,300,15672.388216
148.268356,300,15900.314556
67.366678,133,16001.609707
153.638612,300,16230.737027
100.053974,205,16386.158488
148.302167,300,16615.287531
151.035449,300,16845.637955
145.964458,300,17074.917655
153.680199,300,17305.138043
156.432965,300,17536.259665
137.331605,270,17742.533634
141.281242,280,17959.116342
153.287977,300,18190.515856
142.51309,289,18413.383647
144.093439,286,18633.787835
155.179919,300,18866.02301
