#{"t_start": 1781751887.5219913, "env_id": "highway-v0"}
r,l,t
1.658462,4,4.716251
1.449398,4,7.699255
0.0,1,8.432607
3.760992,7,13.49843
2.237192,5,17.159905
3.668993,8,22.864003
2.462105,6,27.18037
4.296885,9,33.685879
2.721993,6,37.994494
0.444444,2,39.479068
2.255588,5,43.164523
1.333333,4,46.095012
2.115368,5,49.801167
1.026285,3,51.965967
0.0,1,52.677611
1.333333,4,55.593907
0.444444,2,57.09611
3.700437,8,62.826636
0.888889,3,65.031043
1.99911,5,68.65882
0.0,1,69.392648
2.657316,6,73.875517
4.60803,9,80.508007
0.444444,2,81.978725
1.273829,3,84.240969
5.547674,11,92.206699
2.380612,5,95.873127
2.426283,5,99.50599
2.390643,5,103.155538
0.0,1,103.972187
0.444444,2,105.405524
1.688284,4,108.336914
1.949216,5,112.021404
1.333333,4,114.887815
0.0,1,115.653886
1.110346,3,117.856377
0.0,1,118.639986
2.503829,6,122.939448
1.528052,4,125.853166
0.646372,2,127.336482
1.133636,3,129.50798
2.490546,6,133.964129
0.888889,3,136.104476
2.450991,5,139.822557
0.0,1,140.601725
0.651877,2,142.035527
0.0,1,142.83353
1.192193,3,144.961987
1.333333,4,147.919601
1.108727,3,150.034009
1.625127,4,152.986375
1.858634,5,156.666691
0.444444,2,158.152994
0.444444,2,159.652522
2.180025,5,163.368232
3.939272,7,168.448754
1.658578,4,171.415152
0.444444,2,172.915318
0.915221,3,175.131436
1.058016,3,177.331227
0.444444,2,178.816791
1.905459,5,182.497349
4.679313,9,189.118147
1.333333,4,192.88224
2.65039,6,197.445675
3.19391,7,202.498077
1.556642,4,205.463603
4.109655,8,211.114149
1.421033,4,214.076959
5.520817,11,221.926581
0.635515,2,223.395778
2.506457,6,227.761374
9.889531,19,241.391093
0.444444,2,242.912847
1.162506,3,245.201464
3.544551,7,250.423528
3.628962,7,255.508625
1.548251,4,258.439211
5.62249,10,265.688453
0.637556,2,267.205024
2.345935,5,271.021308
2.305464,5,274.787463
1.333333,4,277.737241
0.0,1,278.503569
2.873016,6,282.769778
3.041145,7,287.869293
0.444444,2,289.319022
9.896034,16,301.051165
0.0,1,301.770174
3.71249,8,307.699793
1.110963,3,309.833247
0.444444,2,311.28278
8.726305,15,322.098542
0.0,1,322.848425
4.374667,9,329.414376
1.622964,4,332.280626
2.434817,5,335.966467
5.438652,10,343.165614
1.205755,3,345.39747
3.732985,9,352.027933
2.963691,7,357.077959
4.868742,11,365.193483
0.777777,2,366.665199
0.65119,2,368.143127
1.778897,4,371.07618
2.312,5,374.709065
1.898002,4,378.192032
5.680394,11,386.043616
14.093054,24,403.407953
15.728415,23,419.97682
1.04919,3,422.115734
8.707796,15,433.075657
4.479037,9,439.61969
5.710406,10,446.902686
3.435092,7,452.050029
5.962489,10,459.217986
1.583591,4,462.069079
1.886865,4,464.981724
2.871655,6,469.403142
0.0,1,470.1515
7.582879,13,479.746636
4.148798,10,487.11214
3.861125,9,493.59504
1.265737,3,495.780622
3.373547,7,500.860903
11.378746,21,516.009101
2.78006,6,520.325398
3.786573,7,525.378667
0.444444,2,526.824544
3.388898,7,531.893372
0.610699,2,533.357
3.039312,6,537.68988
0.0,1,538.44015
