#{"t_start": 1781751887.5165713, "env_id": "highway-v0"}
r,l,t
73.909586,158,3706.566585
11.371111,25,3725.46793
56.006382,116,3812.786931
152.134566,300,4040.231091
38.245832,77,4098.135391
53.90532,110,4180.345666
156.127383,300,4409.850996
151.481957,300,4640.254196
161.060301,300,4868.839911
150.998833,300,5095.43192
156.894288,300,5323.199585
1.333333,4,5326.285167
154.502447,300,5552.193812
151.38,300,5779.715606
32.407774,71,5833.586493
0.0,1,5834.319677
148.062947,300,6061.666781
100.497115,197,6211.456008
146.738418,300,6438.292814
147.654972,300,6667.465549
152.226381,300,6894.903672
110.935384,201,7047.434582
157.196578,300,7273.676625
51.209355,108,7356.132718
152.397997,300,7583.2173
156.448464,300,7809.505491
154.133611,300,8035.846238
45.365046,90,8104.568408
119.699494,237,8283.650002
150.894298,300,8511.117376
153.227466,300,8736.744688
47.349556,99,8811.748707
158.548411,300,9037.953554
156.285502,300,9264.445134
153.833177,300,9491.280941
91.805739,184,9629.35988
145.263057,284,9844.78642
58.692643,115,9931.321522
155.097333,300,10157.663728
101.542632,202,10310.540835
155.666449,300,10536.633023
151.486718,300,10763.683692
58.39989,111,10848.106391
39.834149,81,10909.415381
149.518657,288,11127.588603
51.874981,109,11210.82733
152.077271,300,11436.832114
151.556293,300,11662.93691
148.259668,300,11890.608211
151.89281,300,12117.098632
91.432896,186,12257.628543
29.22085,62,12304.277062
150.746499,300,12531.977311
152.449828,300,12759.115275
149.457197,300,12986.869941
152.788661,300,13212.82224
150.924838,300,13439.460201
151.049536,300,13666.181076
146.07675,300,13894.375812
105.552507,210,14052.929156
150.533479,300,14280.361052
152.168551,300,14506.518766
128.396569,254,14699.20304
149.936195,300,14926.938076
143.065923,300,15154.645261
154.438742,300,15384.222326
149.270544,300,15612.524343
104.154639,207,15770.058637
87.61274,172,15900.868471
148.400184,300,16129.856535
153.246577,300,16358.030985
147.513877,300,16586.6832
142.795998,300,16816.9992
144.495182,300,17046.346027
143.64128,300,17276.583056
156.217824,300,17507.93282
150.311479,300,17736.970074
34.977993,73,17793.321441
145.596282,300,18025.664932
152.1781,300,18256.295482
42.392902,92,18327.250464
151.7365,300,18558.603564
153.909147,300,18790.633314
