#{"t_start": 1781481845.4348516, "env_id": "highway-v0"}
r,l,t
46.4,59,781.557326
20.829396,27,784.323169
33.896792,42,788.740174
26.409461,34,792.655859
12.271247,16,794.33851
89.976734,113,806.159096
29.356982,37,810.205938
11.2,15,811.870053
16.0,21,814.10529
25.644851,33,817.612643
61.013541,75,825.350276
24.05367,31,828.672062
14.4,19,830.638926
25.6,33,834.183915
18.441896,24,836.670223
15.2,20,838.751918
12.818841,16,840.41683
14.536523,19,842.41769
25.608861,33,845.817671
34.456698,44,850.481583
25.829578,33,854.048006
17.985554,23,856.467149
28.8,37,860.333622
21.6,28,863.281693
20.829767,27,866.196274
26.4,34,869.762428
26.811362,34,873.42853
15.158995,19,875.428497
118.652016,149,892.927438
8.0,11,894.125457
49.627158,63,900.877166
36.8,47,905.859681
43.516758,55,911.643554
26.460073,34,915.208523
56.008495,71,922.705477
8.029767,11,923.808595
8.179644,11,924.988413
55.377043,70,932.387696
16.8,22,934.620562
9.6,13,935.975149
20.824475,27,938.771796
20.8,27,941.671768
16.8,22,943.985322
15.208861,20,946.102438
5.018484,7,946.873142
23.205862,30,950.070711
27.28154,35,953.818192
22.461449,29,956.949383
46.403295,59,963.421829
58.452206,74,971.334371
16.8,22,973.677849
35.2,45,978.568083
44.149041,56,984.449097
26.402012,34,988.030239
15.231556,20,990.12987
46.314323,58,996.555829
18.4,24,999.112261
26.604574,34,1002.782159
70.4,89,1012.360245
50.452694,64,1019.17541
10.4,14,1020.659302
30.4,39,1024.860648
21.6,28,1027.794859
58.4,74,1035.646184
36.0,46,1040.525911
8.029767,11,1041.637028
35.373843,45,1046.361168
53.6,68,1053.656714
20.8,27,1056.504595
8.0,11,1057.674217
30.4,39,1061.803933
76.0,96,1072.185893
5.6,8,1073.037471
21.087427,27,1075.985374
9.6,13,1077.468679
12.8,17,1079.25348
131.101943,164,1096.969355
27.259655,35,1102.450476
43.508783,55,1108.347345
38.468155,49,1113.749285
6.4,9,1114.74864
31.524046,40,1118.999913
16.8,22,1121.36276
73.697034,93,1131.433238
8.0,11,1132.613367
18.4,24,1135.160808
21.6,28,1138.143767
98.255661,123,1151.45876
17.782724,22,1153.793601
64.194473,81,1162.607231
24.265168,31,1165.992099
18.4,24,1168.539719
21.6,28,1171.521302
52.0,66,1178.675275
24.8,32,1182.11232
