#{"t_start": 1781730422.2410629, "env_id": "highway-v0"}
r,l,t
6.682102,10,9.019542
32.294673,47,42.211558
12.815237,20,55.676158
16.76371,32,77.179261
20.672165,34,100.587177
7.366431,13,110.235855
28.463191,45,140.70265
50.244646,76,195.959499
38.560247,57,235.886264
39.661997,59,277.880917
44.440574,48,311.89327
12.823,23,329.426308
14.515786,18,348.540628
24.161116,36,380.350878
12.842447,16,392.351615
21.505387,34,416.051354
9.684075,16,427.280063
9.089261,13,436.29405
19.735595,34,460.040843
40.159778,52,496.9351
29.580956,48,530.715011
51.460451,81,588.926173
30.067924,44,620.186856
28.49441,55,659.750747
31.113248,37,686.428381
22.126199,30,707.777839
34.854349,64,754.138787
9.048149,11,762.118643
66.831852,81,820.3474
10.518116,13,829.676485
16.500423,20,844.489919
34.703906,51,881.403225
14.425385,20,895.65161
20.102713,39,923.631113
15.543217,19,938.181521
83.294061,108,1016.669124
45.510344,77,1073.295189
46.971293,78,1131.387886
40.905792,60,1175.715412
34.755477,57,1217.993259
12.713579,19,1231.777244
20.38792,26,1250.787637
6.164221,12,1259.537871
23.947856,40,1289.050832
12.653333,21,1305.098664
50.410093,68,1355.37568
12.027348,19,1369.244146
26.433951,46,1403.619456
24.175223,36,1430.151605
12.339784,25,1448.930336
44.636883,69,1500.272174
23.475791,45,1533.252804
14.62649,23,1550.089028
26.201594,51,1587.812345
32.941498,57,1629.412057
40.765896,76,1685.934902
41.221575,80,1744.358862
47.080979,84,1806.116186
11.875689,20,1820.632257
29.960297,60,1864.376768
81.640756,133,1962.014772
32.568673,66,2010.374566
51.024911,97,2082.534407
7.223582,9,2089.184406
85.612565,149,2197.733753
6.820501,10,2205.152356
46.508036,82,2265.958388
168.993212,290,2480.114739
31.471296,57,2521.877588
84.049677,156,2637.727146
79.562289,156,2754.372698
44.048121,79,2814.157948
145.769279,253,3010.777608
24.43028,43,3043.441434
49.040366,94,3123.937751
61.257842,112,3211.780464
50.288191,85,3381.441806
25.678198,38,3469.743114
20.625537,33,3523.510002
29.124768,58,3590.361688
6.412165,8,3599.063603
47.440165,96,3691.321727
146.035847,300,3980.879541
150.465069,300,4269.952539
65.711525,143,4402.295931
93.539246,188,4582.819265
36.721633,74,4678.94321
84.372275,168,4850.467738
56.865312,117,4969.254441
11.575896,23,4991.969241
143.557159,300,5319.329563
140.486147,300,5592.248729
139.856703,300,5867.126962
22.743438,47,5910.867642
141.685002,300,6251.428572
141.335697,300,6548.055287
37.770035,81,6627.034394
147.871542,300,6925.908063
91.316686,194,7116.790737
29.393333,63,7177.154885
140.246549,300,7472.084947
92.316842,196,7661.561965
57.892283,125,7777.797524
137.083753,300,8051.36536
142.575319,300,8435.787231
142.023398,300,8770.497603
40.681191,82,8847.1728
139.26915,300,9121.779945
33.670303,70,9185.556636
144.695004,300,9466.480126
142.984435,300,9739.747859
14.440906,31,9768.885867
20.249283,44,9809.070503
106.016171,227,10028.633381
67.873655,149,10179.893735
141.485156,300,10472.195185
14.260783,31,10502.264605
143.761484,300,10783.226123
140.823381,300,11070.167742
57.019357,119,11193.410799
14.977987,30,11222.08109
143.386635,295,11500.61129
66.798467,138,11628.80903
126.810701,268,11876.22184
59.750897,134,11974.399268
140.624876,300,12189.483987
141.488735,300,12401.624073
139.775852,300,12614.46407
140.46913,300,12827.339649
12.488473,27,12846.518231
142.621537,300,13059.708055
138.742776,300,13274.280977
6.371258,10,13281.313051
136.416326,300,13495.856316
67.18966,144,13601.989709
58.569144,124,13691.895017
62.364389,126,13785.049889
138.15464,300,14003.3126
137.322069,300,14222.428153
140.377579,300,14442.733576
59.332768,127,14535.421789
136.97156,300,14753.643016
136.624074,300,14968.150385
9.320172,19,14981.598685
138.572599,300,15198.287861
136.160555,300,15412.496246
76.474879,169,15532.747523
6.6258,15,15543.460907
43.92856,94,15610.424499
139.617037,300,15824.312133
137.231529,300,16037.298266
95.391965,212,16188.845696
139.444714,300,16402.901865
90.969678,197,16542.884093
26.414434,50,16577.912967
15.846837,33,16601.076709
140.537081,300,16813.385128
59.278859,125,16902.305115
146.910601,300,17118.361029
94.337376,191,17253.893924
50.515657,100,17330.116339
144.371999,300,17544.423553
7.338823,13,17553.555777
47.54285,98,17622.746935
141.330478,300,17836.769765
144.406462,300,18050.234759
150.738546,300,18264.498727
75.077887,153,18373.405024
10.335005,22,18389.032902
33.585104,63,18434.077216
147.480047,300,18647.149712
95.129327,204,18792.414971
138.891867,300,19005.837422
137.500817,300,19219.360678
97.257809,206,19366.291964
140.207645,300,19581.147996
149.447247,300,19795.97326
151.118011,300,20011.033998
8.945979,17,20023.68598
141.289788,300,20239.03004
14.67043,27,20258.1613
74.423259,149,20364.528773
81.488191,176,20489.900119
