#{"t_start": 1781730422.1936743, "env_id": "highway-v0"}
r,l,t
14.878966,22,17.5703
23.544108,34,41.406962
13.224841,28,60.326648
11.044594,17,71.671463
40.29369,62,115.049268
15.153942,18,127.218308
29.977692,48,159.543529
13.680866,16,171.678956
29.478962,40,201.623513
10.514934,19,215.086468
10.856683,20,228.801223
12.206726,15,239.383476
16.854415,30,260.273339
25.483497,28,280.794612
8.088945,10,287.743932
18.561815,25,305.52434
21.794482,32,329.238498
35.551259,54,380.185041
10.260617,15,391.497154
26.136984,33,414.510709
22.188849,26,432.724989
55.867567,66,479.018985
11.428343,17,491.084182
36.693443,62,534.895255
14.238989,23,551.281011
6.805537,10,559.061123
57.485115,97,628.083502
14.56682,18,640.99789
35.567513,49,675.960445
45.642981,67,723.887638
39.953486,59,766.934468
13.12557,21,782.102588
15.435702,22,798.04466
15.29445,24,815.1773
15.957167,24,832.490191
6.873426,10,840.041726
26.591639,32,863.106572
21.74678,26,882.017153
26.194909,39,909.930323
27.39484,40,939.507971
14.021979,22,955.279022
40.987507,62,1000.553581
42.734104,56,1041.548553
17.725969,23,1058.47503
18.679677,27,1078.28407
49.931615,93,1147.516439
30.664623,45,1180.780073
26.55674,56,1222.240148
18.213112,21,1237.488146
30.706532,41,1267.554198
36.753772,44,1299.880261
22.239601,28,1321.179514
14.909029,22,1337.309944
22.699355,35,1363.271899
87.440519,142,1468.785909
14.575878,27,1488.442384
52.275492,94,1558.108713
10.333237,22,1574.328095
9.531459,11,1582.543677
6.884759,13,1592.010411
48.746621,71,1643.952505
104.118054,200,1791.266833
157.872021,300,2011.006526
25.87854,52,2049.633545
56.790207,85,2112.183973
21.320963,42,2142.721585
66.753681,126,2234.993213
8.496874,17,2248.141329
16.193661,30,2270.288388
146.464996,300,2491.909901
152.897044,300,2714.681182
57.898705,114,2800.188973
15.091847,23,2818.501136
42.299424,75,2880.361931
32.512861,49,2918.157281
28.767386,46,2952.717329
22.305125,33,2977.198386
6.184559,8,2983.146654
15.735284,33,3007.642434
12.447341,19,3022.491652
31.851782,48,3060.330046
11.277187,22,3077.117528
18.308779,34,3102.047903
48.988613,95,3182.38416
62.509669,119,3377.974501
50.082419,94,3550.035588
159.593183,300,3851.033479
35.463419,70,3916.573025
144.42374,300,4202.17565
40.770943,89,4287.183974
117.012278,248,4520.410024
19.668904,42,4559.111904
63.43192,132,4717.258913
141.413933,300,5021.381144
144.025612,300,5345.558869
148.488115,300,5617.566529
145.585301,300,5892.665793
10.609889,16,5907.943173
143.196645,300,6248.389351
139.04792,300,6544.936042
136.4144,295,6833.476176
146.13618,300,7132.488829
140.498958,300,7428.861001
96.869528,208,7625.255638
141.574822,300,7905.105788
89.944412,200,8102.342783
138.100192,300,8478.460488
139.014088,300,8808.220901
8.954238,16,8823.828602
12.043431,27,8848.848995
144.002893,300,9123.163457
143.295014,300,9406.221948
82.920263,159,9551.223377
26.877624,60,9604.896454
145.931051,300,9880.187736
140.725394,300,10179.695886
20.279383,44,10221.085388
45.873483,100,10318.636106
137.520189,300,10606.734414
139.40739,300,10888.10618
138.415196,300,11185.24532
45.16491,97,11282.235904
142.420678,300,11561.475673
137.347796,300,11835.461232
12.134946,25,11864.55267
140.034141,300,12078.878677
143.53983,300,12296.151274
140.766708,300,12509.110072
80.160442,177,12633.942358
29.798139,65,12680.253199
39.079283,79,12736.259888
136.173154,300,12949.538264
138.432333,300,13162.992454
137.77815,300,13377.132167
145.012965,300,13595.289392
139.984646,300,13815.180128
6.305927,11,13823.291174
31.79535,69,13873.338005
90.460733,195,14015.166418
137.61346,300,14233.940665
139.909985,300,14454.29494
137.065803,300,14672.920341
9.018865,20,14687.316638
14.324758,30,14709.063919
38.75637,81,14767.888273
143.371115,300,14982.179253
8.259416,16,14993.427841
21.655401,47,15026.840426
18.9235,38,15054.040366
58.802963,124,15145.708703
143.155395,300,15359.800545
135.09972,300,15573.354649
136.210958,300,15787.030765
135.027118,300,16000.437305
27.709732,56,16039.975788
140.86239,300,16254.884619
143.328327,300,16467.591051
143.951994,300,16679.333431
55.428299,115,16761.902439
142.690501,300,16974.624424
150.364776,298,17189.115993
70.691407,137,17286.538884
146.428752,300,17506.283184
5.930513,12,17514.778626
16.518704,30,17535.872026
29.864401,58,17576.552447
145.84119,300,17789.773167
147.318411,300,18003.630685
149.365577,300,18217.76881
8.731555,19,18231.283697
145.545972,300,18445.327081
96.41272,184,18576.288986
44.890002,94,18642.701995
27.907269,62,18686.648571
142.812709,300,18900.102007
137.845028,300,19114.004874
83.180002,169,19234.071776
142.502324,300,19448.148964
25.684442,52,19485.476439
122.9328,240,19657.922442
148.860423,300,19872.81253
53.257514,114,19954.639547
10.305733,21,19969.880586
9.194071,13,19979.034711
139.544201,300,20194.227253
22.781127,44,20226.158573
141.779055,300,20440.286091
