#{"t_start": 1781730422.176944, "env_id": "highway-v0"}
r,l,t
17.841018,29,22.563101
58.283049,74,72.94186
14.925567,22,87.740207
80.213475,134,182.517895
9.403227,14,192.856694
14.49454,17,205.121173
8.202827,10,212.13688
26.944067,48,245.56849
32.509776,39,272.879272
6.872505,8,279.294926
36.03414,52,315.87347
27.966504,41,354.965589
8.350645,10,363.904262
46.947665,78,421.428652
9.18477,11,429.142121
11.560037,13,438.15782
8.054073,10,445.156884
8.595945,16,456.339886
10.122264,17,468.287186
16.904261,21,483.278677
30.775644,43,513.567834
8.039363,13,522.712386
23.103716,43,553.354317
8.865592,12,562.493595
17.027532,25,580.28606
15.907714,21,595.020499
13.030724,18,607.854773
25.978172,46,640.881554
4.992914,7,645.997276
11.756979,17,658.059593
28.785178,40,686.956086
25.059331,39,714.627532
18.080568,22,730.23686
9.379976,15,741.471875
12.541714,20,756.052469
29.911072,37,782.834777
10.903405,18,795.777999
21.385108,41,825.107917
22.106644,29,846.405111
53.035795,78,902.698018
38.495834,50,939.392811
42.791359,71,991.178844
11.63059,14,1001.201954
37.119026,72,1053.995091
29.297145,33,1078.159759
37.646112,66,1127.438098
11.532509,15,1138.602231
23.248185,40,1168.136482
24.937297,43,1199.826353
9.64189,19,1214.141232
57.372929,105,1291.045222
21.282087,40,1321.063657
47.363069,86,1384.535958
16.542962,27,1405.03334
24.076529,39,1433.818763
44.880945,72,1486.839047
28.639588,51,1524.886012
37.741653,63,1571.165144
15.388093,32,1594.87554
24.042324,38,1622.608517
53.352364,73,1676.363631
51.958343,103,1752.24226
60.718809,102,1827.011926
28.061332,54,1866.340557
95.717217,188,2004.256095
46.812297,95,2075.063852
10.206753,17,2087.480076
31.482435,53,2125.885999
19.927747,25,2144.1082
63.164476,109,2223.914788
95.57327,185,2360.726851
83.767517,159,2478.383579
125.894321,219,2640.826296
28.295177,54,2681.068927
21.366238,39,2710.14885
35.747704,62,2756.628544
42.821192,79,2816.218264
72.971983,117,2911.291217
15.043507,30,2933.737236
36.514039,63,2980.830436
10.841962,16,2992.731125
24.11318,47,3028.307705
83.881454,137,3143.594321
120.749863,218,3476.725828
120.153191,200,3701.939848
112.033247,227,3923.773968
146.580552,300,4209.540841
7.652263,16,4224.512983
143.169873,300,4508.318135
57.13504,122,4647.998848
75.854138,147,4806.208823
39.359583,62,4861.345493
138.900391,300,5175.716922
144.204051,300,5476.674139
143.843697,300,5750.763589
14.204089,27,5775.133186
143.342033,300,6102.352433
143.277565,300,6400.308105
138.899544,300,6696.019282
138.049906,300,6996.869455
142.086095,300,7290.087009
6.123208,13,7302.373288
140.069422,300,7588.625407
105.973352,225,7805.312496
125.870951,263,8045.610433
143.242621,300,8428.780709
17.746837,33,8463.751052
145.064267,300,8795.28432
149.651143,300,9072.608458
138.491984,300,9348.994482
138.561665,300,9626.391812
6.070866,12,9637.124408
143.62528,300,9913.360427
140.410379,300,10213.373582
137.317014,300,10506.585079
9.455035,20,10525.931606
136.838979,300,10806.238817
5.448739,12,10817.248875
138.321473,300,11105.531499
77.850459,168,11277.513188
138.73481,300,11556.684769
21.395875,48,11601.35772
43.582521,89,11684.521966
47.086153,98,11776.320211
140.56883,300,12013.036864
14.119597,31,12034.500765
117.330736,255,12219.094505
139.328945,300,12431.234452
79.112798,164,12547.88645
69.453181,151,12654.339836
83.246333,173,12777.474421
139.782601,300,12990.574006
136.393805,300,13204.486806
136.054991,300,13418.826822
18.674004,37,13445.523461
10.114641,21,13460.538366
137.250999,300,13679.24575
9.13072,19,13693.192367
77.345475,165,13815.079015
22.797638,51,13852.307735
136.8835,300,14070.281422
138.887364,300,14288.880084
139.333291,300,14509.282415
142.497956,300,14728.49488
136.021398,300,14943.201031
140.142762,300,15159.740181
50.210957,110,15237.884126
139.886253,300,15452.507619
30.727625,69,15501.330348
135.770337,300,15714.804958
135.07058,300,15928.237884
135.883255,300,16141.749718
139.266512,300,16355.959002
100.287627,208,16503.653135
145.721911,300,16715.559706
6.238449,12,16724.708469
143.127895,300,16938.014762
109.340193,229,17102.945755
56.570086,118,17186.899825
33.482246,61,17230.194381
9.180566,20,17244.39247
63.272054,125,17338.598965
17.344032,28,17358.544649
139.972931,300,17572.221308
55.633264,123,17660.323
121.93039,260,17845.049516
13.245381,27,17864.180326
151.782261,300,18077.403298
155.685569,300,18292.096491
50.704647,102,18364.0002
119.113925,239,18534.214161
5.735904,12,18542.89587
38.90131,84,18602.855594
32.503453,71,18653.30223
128.06632,262,18839.595786
141.139602,300,19052.77925
144.63998,300,19266.852063
145.394101,300,19481.126596
112.121767,232,19647.803723
79.405533,166,19766.473849
30.187752,37,19792.904329
137.196607,300,20007.918018
142.245363,300,20223.92612
142.061459,300,20438.053119
