#{"t_start": 1781730422.3370867, "env_id": "highway-v0"}
r,l,t
31.723657,44,33.38362
39.091114,46,64.67903
17.272032,32,86.108069
26.486003,42,116.089028
25.699527,41,143.718976
37.811908,46,176.642768
50.984546,63,222.292084
26.625579,38,248.792497
7.787084,13,257.870799
16.430068,19,271.118953
46.770385,67,319.111154
28.211542,48,365.403468
34.32727,54,405.851639
24.906679,38,432.355122
13.849724,28,451.879169
16.466752,23,468.010399
11.933533,16,479.409037
22.978174,26,497.873219
16.366184,32,520.336637
21.225613,33,543.917317
20.426472,28,564.381289
49.799874,84,623.957076
18.833917,32,647.13698
20.607874,34,671.369647
11.636365,20,685.950886
24.402401,51,722.06292
17.527446,33,746.326976
24.025198,31,768.704953
16.737813,27,788.419203
17.739096,24,805.536202
7.239379,9,812.034949
72.542192,85,873.660401
13.199034,22,889.423296
13.193349,18,902.404451
31.967731,42,933.333892
32.620911,60,977.078291
10.975764,16,988.712034
18.431576,26,1007.540946
51.1214,71,1059.619328
25.281294,33,1083.814593
15.746013,20,1098.446297
7.305685,9,1105.061716
21.886624,32,1129.375227
57.580062,93,1198.083124
9.492317,11,1206.165483
10.345516,13,1216.047439
53.43788,85,1278.281923
9.405881,12,1287.038307
18.780803,29,1308.968836
55.841966,99,1382.092443
53.615758,99,1455.933236
46.419451,80,1515.109053
6.063821,11,1523.110021
90.07757,169,1647.376954
47.012896,80,1706.559961
34.794376,68,1756.394662
9.036886,17,1768.942952
113.352968,212,1924.322949
6.913078,13,1933.781597
60.624759,111,2015.127974
29.453905,58,2058.106779
27.808414,40,2087.963673
138.845333,257,2276.610821
8.978443,17,2289.442553
148.140557,288,2501.76526
161.897772,269,2701.706125
118.026648,203,2860.602266
52.164953,93,2931.191686
49.092687,84,2993.968534
89.769505,141,3101.704621
14.715666,30,3132.618793
28.365676,47,3169.144221
89.962963,168,3444.085755
13.062155,18,3481.221675
36.721283,68,3573.131123
10.667247,16,3592.912671
58.538931,97,3686.987355
22.223518,47,3731.552093
16.099854,24,3753.49268
149.753087,300,4041.152031
27.312353,49,4088.505251
123.201937,241,4321.774462
142.840758,300,4614.323946
143.81127,300,4936.93116
68.424402,131,5065.309691
138.779593,300,5387.843618
109.773361,233,5598.98651
15.464648,26,5622.631141
40.892046,88,5703.359255
139.469746,300,6002.615513
143.869669,300,6320.44193
49.588437,101,6423.368488
42.361083,88,6511.088062
13.108927,28,6539.483521
140.559378,300,6833.047331
142.411798,300,7132.051206
10.414849,20,7152.247455
141.325329,300,7446.713909
140.819395,300,7734.145327
143.691545,300,8007.631007
37.075966,76,8080.001893
50.948447,102,8231.900101
8.443942,18,8260.235531
143.231147,300,8603.344618
139.693193,300,8908.122434
50.527346,107,9006.033563
60.521032,130,9124.428339
114.313042,240,9347.677589
135.234824,280,9607.23638
144.886637,300,9882.496164
143.044729,300,10182.273117
17.988599,40,10219.72597
139.379376,300,10513.750943
14.498224,30,10541.45735
139.815846,300,10821.539541
123.993811,268,11079.593014
140.529903,300,11375.471599
139.245534,300,11654.759302
149.459099,300,11920.956549
40.77589,90,11984.980217
141.395502,300,12200.402084
59.587694,123,12287.192402
140.284981,300,12500.318692
74.70245,158,12611.834936
138.501879,300,12824.724809
138.686757,300,13037.564728
140.312528,300,13252.439654
33.839998,76,13306.514191
110.473587,242,13479.627795
93.101753,200,13626.19399
141.011759,300,13846.246221
67.133016,142,13949.199851
100.488735,220,14109.479553
9.769036,20,14123.877735
136.087603,300,14344.316673
11.194913,23,14361.431057
77.187827,170,14485.100798
139.41567,300,14703.654438
24.473025,51,14741.183103
136.961355,300,14955.689294
6.394378,14,14965.520151
137.322069,300,15182.210542
39.732559,86,15243.336201
137.48334,300,15457.944337
48.208663,108,15534.382622
22.472534,48,15568.678334
138.910794,300,15782.400879
135.689347,300,15995.826208
138.074972,300,16209.996889
43.354836,95,16277.938305
138.41891,300,16490.511295
143.445566,300,16702.58442
94.920134,202,16846.299554
93.986088,203,16990.783224
143.606641,300,17206.637043
18.462062,41,17235.600061
7.534669,12,17244.132674
146.665542,300,17463.987779
151.210351,300,17677.077336
58.448101,125,17765.299441
140.881843,300,17978.975783
38.895174,80,18036.347236
115.232731,230,18200.433393
150.424461,300,18414.48716
8.154928,11,18422.269325
43.270324,79,18477.890861
146.938595,300,18691.318569
49.918522,91,18756.472411
143.796967,300,18969.993169
139.417893,300,19183.135916
144.0326,300,19397.058619
14.407738,27,19416.506416
143.071527,300,19631.295538
34.780343,67,19679.80605
139.862251,300,19894.533471
145.077571,300,20110.345168
139.047884,300,20324.871481
89.848509,185,20456.924181
