#{"t_start": 1781730422.2866187, "env_id": "highway-v0"}
r,l,t
14.714251,22,17.835407
21.921931,25,35.387273
8.974955,11,43.015498
15.506133,27,61.229846
7.745464,10,67.912282
38.35455,70,116.67277
16.137588,23,132.170769
8.309269,11,139.469847
19.314737,22,154.334594
13.014557,20,168.832814
18.398956,24,187.351721
13.275602,17,199.628932
11.012464,18,212.510364
25.187737,32,234.541005
47.436159,62,278.885243
41.729108,59,320.363306
33.648125,45,364.35767
49.854604,80,423.183283
13.032039,21,437.764725
82.190614,128,528.002829
6.402525,8,533.685876
34.473383,45,566.414971
39.904848,52,603.188585
31.20743,36,629.10691
14.461175,20,643.473606
30.137011,56,683.633174
14.943699,28,703.685416
27.343413,32,726.294409
18.427366,33,750.524503
46.590828,66,798.320088
10.397055,13,807.605408
42.228005,59,850.372853
7.024141,9,856.894286
9.339408,11,864.846707
33.81448,60,908.029855
37.148732,50,944.816199
40.173565,47,979.245359
12.650653,18,992.229049
19.412652,31,1014.607184
58.070048,87,1078.551297
8.182995,10,1085.931453
20.960594,35,1111.771374
15.826681,32,1135.974938
23.232546,28,1156.805576
29.608755,41,1186.951628
9.138847,12,1195.717244
12.807234,22,1212.250452
87.279172,161,1330.9498
29.387575,48,1366.472826
153.850288,257,1556.870743
38.760364,72,1609.797855
43.10686,84,1671.558203
11.770963,24,1689.749137
6.140501,9,1696.269385
131.772763,256,1883.963892
6.700795,14,1894.127407
21.882565,36,1920.540679
12.851906,23,1937.335693
81.484539,133,2034.722444
53.306572,103,2110.985555
37.838545,69,2161.259628
81.49606,167,2284.90917
74.050681,149,2393.669878
92.678219,181,2527.845984
7.647689,16,2539.560816
61.253992,103,2615.317785
18.315205,27,2636.231678
77.424192,150,2748.416879
11.338638,21,2764.581878
115.968755,216,2934.110002
49.167473,74,2989.352956
14.010516,23,3006.386154
33.969312,53,3046.612152
53.898797,99,3130.972882
19.106065,33,3157.731667
58.156903,101,3294.538436
12.161106,22,3334.84175
150.413341,300,3724.997096
36.732006,69,3794.901097
17.999637,37,3831.568733
12.190348,24,3856.133107
143.244794,262,4099.218078
143.432063,300,4387.715862
145.870261,300,4703.055703
24.022738,46,4761.44692
7.179271,15,4773.894237
5.411483,11,4784.9926
29.83494,61,4839.332733
15.600476,32,4868.509888
139.821871,300,5189.212033
141.259741,300,5483.520963
58.605799,126,5597.009048
56.027711,121,5707.680726
145.365408,300,6014.053221
79.65531,170,6204.046029
38.590553,76,6274.849267
7.599539,14,6287.832348
140.893745,300,6586.81307
7.621357,17,6602.714056
137.522704,300,6895.884517
138.290641,300,7195.661923
139.293437,300,7488.840947
138.544897,300,7775.205825
49.895106,107,7871.884887
138.961784,300,8199.743711
143.023979,300,8546.048964
138.619142,300,8867.459597
145.861957,300,9141.414739
139.948767,300,9424.486347
9.014412,17,9439.422828
136.996761,300,9711.670656
138.152802,300,9996.268956
138.438362,300,10294.02709
141.915333,300,10583.265706
138.471703,300,10864.059072
38.739797,82,10940.284478
14.406297,27,10965.49691
143.955501,300,11267.932446
128.19903,273,11523.914993
143.386544,300,11800.587029
71.602685,138,11919.422282
43.03844,89,11982.731086
141.689701,300,12198.120636
126.710718,271,12389.746635
137.697746,300,12602.538715
5.72193,12,12611.002237
138.148549,300,12823.925413
137.707501,300,13036.730571
51.51506,115,13118.804953
45.059411,92,13184.630056
81.192662,180,13313.530476
138.965362,300,13529.155494
139.444417,300,13748.542244
137.568689,300,13968.230556
142.160482,300,14186.704269
137.102085,300,14407.577817
136.520053,300,14625.748096
146.627448,300,14842.286305
8.905854,20,14856.585559
42.347565,88,14920.060956
109.978494,220,15076.540936
134.411541,300,15293.500379
136.437416,300,15507.403208
56.099777,122,15594.108905
56.942073,118,15678.048216
140.279686,300,15891.906556
136.634479,300,16104.877383
72.179565,154,16215.563374
137.902787,300,16428.960846
148.246022,300,16641.126087
145.777736,300,16854.032337
139.747528,300,17068.788397
19.254153,41,17098.768618
46.035975,91,17163.892985
82.687206,179,17291.095119
141.37327,300,17510.782264
97.96376,213,17662.112667
144.107883,300,17875.069343
140.755,280,18074.112706
109.971073,226,18235.8901
8.58125,12,18244.78969
151.004205,283,18446.317047
89.309274,175,18570.91426
112.599834,217,18724.598049
77.100336,152,18832.682812
13.790787,25,18850.562049
73.651832,154,18960.614676
79.071265,174,19083.798951
17.69892,37,19110.695571
144.731076,300,19324.88496
146.42845,300,19539.291089
27.183711,56,19579.036054
55.87402,112,19659.611109
94.815204,190,19795.361016
142.292301,300,20010.438406
16.282389,36,20036.685257
139.37326,300,20251.883247
141.859348,300,20466.090402
