#{"t_start": 1781730422.257928, "env_id": "highway-v0"}
r,l,t
29.940268,48,36.028482
25.988946,44,65.858189
9.156817,11,73.207018
6.706651,10,79.86414
36.121882,51,115.918306
50.548994,65,159.729211
19.770217,30,182.834168
9.131639,11,190.913893
8.240494,10,198.124357
52.977443,71,247.934636
15.144506,20,261.866117
25.969867,40,290.762404
19.540951,29,311.276413
73.387977,102,398.084915
29.727849,41,426.636409
32.876437,56,465.68987
15.216078,30,487.056891
10.194947,14,497.018851
41.960447,63,541.650453
56.990333,85,602.390889
34.363622,55,641.900559
8.129561,13,651.232634
25.253977,45,683.563819
31.743907,41,712.774708
27.744829,46,746.153898
93.844282,134,843.121812
24.627005,32,866.257261
14.113123,22,882.202906
7.747527,15,892.868166
8.121232,10,900.084048
30.361651,46,933.89845
56.57709,88,997.903947
56.3545,71,1049.864739
6.125011,10,1057.213758
20.448984,28,1077.720936
6.604939,9,1084.413126
38.778976,48,1120.402857
17.472033,25,1138.903281
27.118831,52,1177.267152
36.361745,57,1219.515406
19.659274,37,1246.422697
24.950998,33,1270.688526
13.769301,21,1286.134267
13.892485,20,1300.865727
50.650407,65,1349.27583
10.189614,17,1362.026758
23.057165,37,1389.254385
24.728543,46,1423.616655
25.396357,39,1452.812916
40.454814,59,1496.660847
38.343516,65,1544.301149
26.457487,38,1572.282185
35.377141,62,1617.730036
81.594063,153,1730.420388
22.121485,40,1759.95661
9.631901,19,1773.873738
46.525487,82,1833.847165
19.672165,39,1862.211581
67.047985,129,1956.864517
42.993711,78,2014.140588
21.398585,41,2044.664825
11.732918,25,2063.634211
56.351674,112,2145.173807
37.733399,72,2197.816837
102.549923,207,2350.768064
39.533884,64,2397.341175
39.786266,72,2451.150941
97.361734,173,2578.443377
36.073003,45,2611.547004
16.859937,34,2637.826921
41.382243,56,2679.871506
105.025197,199,2830.25219
78.966842,120,2926.489597
166.630321,300,3163.320978
54.241,103,3313.115344
96.596445,178,3595.775476
38.178033,75,3668.702229
140.804464,280,3940.685693
145.620152,300,4226.708232
140.844806,300,4510.519617
145.174053,300,4835.593573
5.814063,10,4844.766043
145.076054,300,5155.584949
13.543751,28,5191.461715
9.581541,20,5216.00469
138.732325,300,5503.097327
85.059569,180,5666.268831
15.735989,34,5697.635143
51.471493,107,5796.214452
23.893697,40,5832.628895
11.256828,20,5850.838991
140.779675,300,6190.018885
142.132402,300,6483.106883
94.443779,200,6680.701133
141.450804,300,6981.382835
66.755097,145,7121.51445
5.41472,12,7132.776776
12.444106,25,7158.012178
29.313082,63,7218.38053
9.247839,19,7238.271641
136.210882,300,7528.097188
83.583049,182,7705.518042
137.127793,300,7980.031441
140.669972,300,8352.499605
146.060894,300,8697.880249
141.525453,300,8975.671849
139.874637,300,9250.196827
14.935401,33,9280.44205
32.857354,69,9346.274562
9.926675,20,9369.99119
78.873546,167,9521.538363
141.922082,300,9794.693957
141.095465,300,10083.184052
136.692775,300,10380.41705
18.185436,38,10418.86831
135.247266,300,10699.903068
137.239735,300,10983.663434
91.389956,197,11184.087758
136.137238,300,11470.505817
142.76106,300,11753.538413
61.028801,133,11872.875184
96.553231,193,12011.939399
130.205968,273,12208.714295
17.775932,38,12235.495405
141.518571,300,12447.801448
38.174498,85,12508.577207
142.754392,300,12720.802951
141.023216,300,12934.206954
50.158973,108,13010.414006
139.000576,300,13225.403617
135.520346,300,13439.293461
136.780635,300,13657.665403
138.979887,300,13877.821338
138.926493,300,14096.162553
147.854793,300,14314.632866
86.654979,192,14456.716559
135.581718,300,14675.287296
135.37721,300,14890.760675
137.799916,300,15105.832762
147.427567,300,15322.122045
23.215584,42,15352.118224
139.185012,300,15565.629711
94.375842,210,15715.092292
136.766513,300,15928.528486
136.818644,300,16142.06818
141.350101,300,16356.274196
64.796287,137,16453.711855
141.763943,300,16665.551656
143.493285,300,16878.957848
82.115866,168,16998.509415
153.734145,300,17214.198643
18.940975,38,17241.113967
152.645989,300,17460.936125
146.402955,300,17674.040207
15.011778,32,17696.537372
109.457834,219,17852.386341
18.139571,38,17879.280932
95.669595,206,18026.395459
43.808167,87,18087.604266
44.927256,80,18144.48041
150.701093,300,18358.623702
32.283678,63,18404.416262
153.46868,300,18617.290594
144.796489,300,18830.515567
24.262738,49,18865.542595
144.921341,300,19078.76369
148.200845,300,19293.619865
142.949808,300,19508.040413
144.058333,300,19722.315209
113.240679,229,19886.596756
138.019654,300,20102.373626
141.691832,300,20316.834807
142.822867,300,20530.345318
18.450917,41,20559.479257
