#{"t_start": 1781617623.0568404, "env_id": "highway-v0"}
r,l,t74133.890645,300,3549.241281
134.104172,300,3603.192825
133.988735,300,3660.857937
13.463509,30,3666.526136
133.988735,300,3723.508127
133.884375,300,3780.980259
133.988735,300,3837.228511
60.133016,135,3862.651291
6.872967,15,3865.498077
133.988735,300,3921.644989
133.988719,300,7062.945218
133.988735,300,7104.80999
133.988735,300,7146.084929
133.988735,300,7187.511343
133.985528,300,7228.94486
133.988719,300,7270.930988
133.988735,300,7311.869295
133.988735,300,7353.843635
133.963555,300,7395.752869
133.988668,300,7437.247591
59.766513,134,10272.605238
133.988345,300,10314.349808
68.210958,153,10335.351556
31.322069,70,10344.882949
133.988735,300,10393.578554
133.988735,300,10444.53075
133.988735,300,10503.477048
133.988735,300,10552.457561
133.988735,300,10603.674591
81.099846,182,10639.171817
136.210958,300,13629.896669
60.877624,129,13646.977548
134.061755,300,13686.410087
134.083645,300,13726.739719
134.026174,300,13767.198385
134.104172,300,13807.407359
134.066691,300,13846.802406
134.083645,300,13886.947191
134.104172,300,13926.565694
98.63823,221,13955.381905
135.93318,300,16652.782617
134.11956,300,16691.066012
17.617309,39,16696.091313
134.193785,300,16734.103148
134.193785,300,16772.800037
87.216315,117,16787.681541
6.070812,13,16789.298436
134.158709,300,16827.726913
134.083645,300,16866.036965
134.083645,300,16903.931787
54.877624,123,19598.727036
133.906127,300,19638.370511
133.988735,300,19677.520672
133.988735,300,19716.331033
133.906127,300,19755.243075
114.797638,258,19788.989845
134.193785,300,19828.729235
133.988735,300,19868.59653
133.988735,300,19907.981764
112.655402,253,19941.072275
134.193785,300,22654.667153
63.93318,129,22671.564867
146.421253,300,22711.393154
134.193785,300,22751.175358
141.544435,300,22790.071446
133.938599,300,22829.563609
134.020053,300,22869.089943
134.193785,300,22908.339258
134.020053,300,22948.097005
134.046523,300,22987.541475
101.544291,228,25695.87794
134.129571,300,25736.340867
133.988735,300,25776.266939
133.872493,300,25816.814739
133.988719,300,25857.428815
133.988735,300,25897.651413
15.320465,34,25902.27791
133.988735,300,25942.823127
133.988735,300,25983.838854
65.54102,147,26004.260995
134.632863,300,28675.333962
134.127356,300,28713.112991
135.304896,300,28750.783789
134.092682,300,28788.465451
134.193785,300,28826.716444
18.47949,41,28832.044879
137.122599,300,28869.924074
152.460736,300,28908.418354
50.678308,86,28919.282244
136.488735,300,28957.51074
133.969659,300,31667.253528
108.085153,243,31699.141157
133.862931,300,31737.967151
94.216042,212,31765.355411
134.067044,300,31813.451875
133.910794,300,31868.097356
133.910794,300,31923.407697
135.128977,300,31976.058086
135.211381,300,32019.428123
133.988735,300,32059.552232
133.910794,300,34887.079685
133.988735,300,34927.88637
141.079207,300,34968.510525
133.908759,300,35009.552057
133.845837,300,35058.660729
42.683731,96,35071.742564
72.37499,163,35097.790655
133.862931,300,35161.13511
133.862931,300,35224.446379
133.859949,300,35276.091597
133.988735,300,38340.482107
135.655402,300,38383.054417
153.134516,300,38426.63528
138.43318,300,38470.078894
137.322069,300,38513.619871
110.015204,244,38551.437202
134.822045,300,38599.617566
38.43318,86,38611.892814
139.444097,300,38658.876359
134.81573,300,38703.12011
133.988735,300,41477.429963
133.988735,300,41517.101422
133.988734,300,41557.241822
133.988735,300,41596.595739
133.98873,300,41636.615092
133.988727,300,41676.469196
71.766513,161,41697.734116
133.988735,300,41737.647308
10.877348,24,41740.74831
133.988735,300,41781.64496
140.684859,300,44544.540667
